variant_id,method_label,system,tier,n,median_inscope_score,median_objective_drift_rel_l2,median_diffusion_rel_l2,median_a12_cosine,median_psd_valid_pct,dominates_b0_on_system,negative_or_inconclusive_count,description
WG_SINDY_FROZEN,WG_SINDY_FROZEN,rotational_ou,2,10,0.9795818306227339,0.05763604602202518,0.03771583503576569,,1.0,True,0,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16
WG_SINDY_FROZEN,WG_SINDY_FROZEN,spiral_sink_corr,2,10,0.975175974323685,0.07816745356769658,0.04250108192364885,1.0,1.0,True,0,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16
WG_SINDY_FROZEN,WG_SINDY_FROZEN,indep_ou,1,10,0.9716094644321672,0.0973765339817036,0.032687494710578247,,1.0,True,0,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16
WG_SINDY_FROZEN,WG_SINDY_FROZEN,correlated_ou,1,10,0.9613163871573722,0.13555660420507148,0.05144795352558701,0.9999999999999996,1.0,True,0,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16
WG_SINDY_FROZEN,WG_SINDY_FROZEN,heston_logsv,5,10,0.9612614540573704,0.14345322624513032,0.05354346682137778,0.998686681047684,1.0,True,3,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16
WG_SINDY_FROZEN,WG_SINDY_FROZEN,coupled_ou,1,10,0.9503776310194112,0.21458940135266175,0.028402641083265567,,1.0,True,0,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16
WG_SINDY_FROZEN,WG_SINDY_FROZEN,double_well_transverse,3,10,0.9488973436500837,0.22838246228069115,0.024338918057957133,,1.0,True,0,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16
WG_SINDY_FROZEN,WG_SINDY_FROZEN,nongradient_circulation,3,10,0.9473974378805855,0.24096118016254858,0.02443968018823614,,1.0,True,0,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16
WG_SINDY_FROZEN,WG_SINDY_FROZEN,gradient_potential,3,10,0.9471989555487588,0.2461896823579654,0.023861303217077707,,1.0,True,0,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16
WG_SINDY_FROZEN,WG_SINDY_FROZEN,diag_multiplicative,4,10,0.9454065807190107,0.20146498204922353,0.11134735624341235,,1.0,True,0,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16
GEDMD_DENSE_PROXY,GEDMD_DENSE_PROXY,rotational_ou,2,10,0.9449015273762033,0.23672587153140084,0.04659520463702034,,1.0,True,0,"Dense gEDMD-style operator proxy: high-degree ridge dictionary, not sparse symbolic"
KM_LOCAL_MOMENT,KM_LOCAL_MOMENT,rotational_ou,2,10,0.9398178226347117,0.24200644661700008,0.059081032031393914,,1.0,True,0,Kramers-Moyal/local increment-moment proxy with ridge thresholding
WG_SINDY_FROZEN,WG_SINDY_FROZEN,nondiag_cholesky,4,10,0.9378073364716262,0.2081887999469425,0.07903737322874788,0.9884530687923909,1.0,True,2,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16
KM_LOCAL_MOMENT,KM_LOCAL_MOMENT,spiral_sink_corr,2,10,0.9337685626013819,0.3155632895836815,0.038368661498175305,0.9999999999999994,1.0,True,0,Kramers-Moyal/local increment-moment proxy with ridge thresholding
GEDMD_DENSE_PROXY,GEDMD_DENSE_PROXY,spiral_sink_corr,2,10,0.9336914505781886,0.31304714390693755,0.029926405177442904,0.9993323105312467,1.0,True,0,"Dense gEDMD-style operator proxy: high-degree ridge dictionary, not sparse symbolic"
GEDMD_DENSE_PROXY,GEDMD_DENSE_PROXY,indep_ou,1,10,0.9089181569903311,0.42975307041167277,0.043009186120296056,,1.0,True,0,"Dense gEDMD-style operator proxy: high-degree ridge dictionary, not sparse symbolic"
WG_SINDY_FROZEN,WG_SINDY_FROZEN,heston_sv,5,10,0.9086992386440473,0.2755104886583968,0.08850762517429599,0.9927479127093255,1.0,True,6,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16
KM_LOCAL_MOMENT,KM_LOCAL_MOMENT,nongradient_circulation,3,10,0.9085764862865457,0.3765645764445087,0.0851097341627556,,1.0,True,0,Kramers-Moyal/local increment-moment proxy with ridge thresholding
WEAK_SINDY_TEMPORAL_PROXY,WEAK_SINDY_TEMPORAL_PROXY,rotational_ou,2,10,0.9031346269491376,0.46014983483899596,0.04306093034538715,,1.0,True,0,Temporal-test-function weak-SINDy proxy: midpoint/subsampled targets expose endogeneity bias
GEDMD_DENSE_PROXY,GEDMD_DENSE_PROXY,nongradient_circulation,3,10,0.8980953304341326,0.4650217806603172,0.05826175988984577,,1.0,True,0,"Dense gEDMD-style operator proxy: high-degree ridge dictionary, not sparse symbolic"
KM_LOCAL_MOMENT,KM_LOCAL_MOMENT,heston_logsv,5,10,0.8948605703115409,0.48559246647551607,0.03821560644924053,0.9985027542773173,0.9940828402366864,True,9,Kramers-Moyal/local increment-moment proxy with ridge thresholding
KM_LOCAL_MOMENT,KM_LOCAL_MOMENT,indep_ou,1,10,0.8948434244788918,0.46657778298001085,0.05356243674043101,,1.0,True,0,Kramers-Moyal/local increment-moment proxy with ridge thresholding
GEDMD_DENSE_PROXY,GEDMD_DENSE_PROXY,nondiag_cholesky,4,10,0.8948336967415493,0.4524255095952012,0.06453815822209776,0.9062928723007793,1.0,True,5,"Dense gEDMD-style operator proxy: high-degree ridge dictionary, not sparse symbolic"
WG_SINDY_FROZEN,WG_SINDY_FROZEN,cir_pair,5,10,0.8880136003717405,0.3924374818797155,0.11659663545755174,0.9951907283437414,1.0,True,1,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16
B0_NAIVE_1D_PORT,B0_NAIVE_1D_PORT,rotational_ou,2,10,0.8876250926636278,0.39884919218714887,0.1518764013667186,,1.0,True,1,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
B0_PRIME_IN_REPO_REPORT,B0_PRIME_IN_REPO_REPORT,rotational_ou,2,10,0.8876250926636278,0.39884919218714887,0.1518764013667186,,1.0,True,1,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
GEDMD_DENSE_PROXY,GEDMD_DENSE_PROXY,diag_multiplicative,4,10,0.8826590620803327,0.5247491039532703,0.08037143535180434,,1.0,True,0,"Dense gEDMD-style operator proxy: high-degree ridge dictionary, not sparse symbolic"
KM_LOCAL_MOMENT,KM_LOCAL_MOMENT,diag_multiplicative,4,10,0.8802352141388443,0.5239393867874016,0.07579253597517259,,1.0,True,0,Kramers-Moyal/local increment-moment proxy with ridge thresholding
GEDMD_DENSE_PROXY,GEDMD_DENSE_PROXY,double_well_transverse,3,10,0.876497466262528,0.5630320410625747,0.07291079089227703,,1.0,True,2,"Dense gEDMD-style operator proxy: high-degree ridge dictionary, not sparse symbolic"
KM_LOCAL_MOMENT,KM_LOCAL_MOMENT,coupled_ou,1,10,0.86933103184561,0.5618251921972278,0.08702024948787694,,1.0,True,1,Kramers-Moyal/local increment-moment proxy with ridge thresholding
WEAK_SINDY_TEMPORAL_PROXY,WEAK_SINDY_TEMPORAL_PROXY,spiral_sink_corr,2,10,0.8687757966538151,0.6500801114197147,0.031047135764904022,0.9999999999999999,1.0,True,0,Temporal-test-function weak-SINDy proxy: midpoint/subsampled targets expose endogeneity bias
GEDMD_DENSE_PROXY,GEDMD_DENSE_PROXY,gradient_potential,3,10,0.8657058272989493,0.6403196646352775,0.058716751103811304,,1.0,True,2,"Dense gEDMD-style operator proxy: high-degree ridge dictionary, not sparse symbolic"
KM_LOCAL_MOMENT,KM_LOCAL_MOMENT,gradient_potential,3,10,0.8645494609257283,0.602787672272088,0.09406305821094132,,1.0,True,0,Kramers-Moyal/local increment-moment proxy with ridge thresholding
GEDMD_DENSE_PROXY,GEDMD_DENSE_PROXY,heston_logsv,5,10,0.8585712293749908,0.5448094188585384,0.07361283576890709,0.9953419023904645,0.9260355029585798,True,10,"Dense gEDMD-style operator proxy: high-degree ridge dictionary, not sparse symbolic"
B0_NAIVE_1D_PORT,B0_NAIVE_1D_PORT,spiral_sink_corr,2,10,0.840842907676931,0.6581995831959053,0.12787538058934445,0.9888113310985032,1.0,True,3,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
B0_PRIME_IN_REPO_REPORT,B0_PRIME_IN_REPO_REPORT,spiral_sink_corr,2,10,0.840842907676931,0.6581995831959053,0.12787538058934445,0.9888113310985032,1.0,True,3,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
WEAK_SINDY_TEMPORAL_PROXY,WEAK_SINDY_TEMPORAL_PROXY,nongradient_circulation,3,10,0.8348711808714246,0.8331195396865951,0.022700672554371967,,1.0,True,10,Temporal-test-function weak-SINDy proxy: midpoint/subsampled targets expose endogeneity bias
KM_LOCAL_MOMENT,KM_LOCAL_MOMENT,correlated_ou,1,10,0.8335333717108573,0.7574497277694806,0.08190291845980965,0.9937790353291563,1.0,True,6,Kramers-Moyal/local increment-moment proxy with ridge thresholding
KM_LOCAL_MOMENT,KM_LOCAL_MOMENT,double_well_transverse,3,10,0.8266706824276193,0.7662515684163386,0.10521823559213495,,1.0,True,5,Kramers-Moyal/local increment-moment proxy with ridge thresholding
KM_LOCAL_MOMENT,KM_LOCAL_MOMENT,heston_sv,5,10,0.8090968868848073,0.726600938316142,0.11467973580838162,0.9950598443697103,0.9733727810650887,True,10,Kramers-Moyal/local increment-moment proxy with ridge thresholding
WEAK_SINDY_TEMPORAL_PROXY,WEAK_SINDY_TEMPORAL_PROXY,coupled_ou,1,10,0.7975714282621071,1.0,0.056597563559702066,,1.0,True,10,Temporal-test-function weak-SINDy proxy: midpoint/subsampled targets expose endogeneity bias
WEAK_SINDY_TEMPORAL_PROXY,WEAK_SINDY_TEMPORAL_PROXY,double_well_transverse,3,10,0.7969261779601343,0.9430076065928561,0.0850510718430545,,1.0,True,10,Temporal-test-function weak-SINDy proxy: midpoint/subsampled targets expose endogeneity bias
WEAK_SINDY_TEMPORAL_PROXY,WEAK_SINDY_TEMPORAL_PROXY,correlated_ou,1,10,0.7961892447776597,1.0365470865133792,0.03126595555325433,0.9999999999999996,1.0,True,10,Temporal-test-function weak-SINDy proxy: midpoint/subsampled targets expose endogeneity bias
WEAK_SINDY_TEMPORAL_PROXY,WEAK_SINDY_TEMPORAL_PROXY,indep_ou,1,10,0.7944719729888547,1.0,0.0645475598671481,,1.0,True,10,Temporal-test-function weak-SINDy proxy: midpoint/subsampled targets expose endogeneity bias
WEAK_SINDY_TEMPORAL_PROXY,WEAK_SINDY_TEMPORAL_PROXY,heston_logsv,5,10,0.7895539004296179,1.0,0.07955854259283618,0.998210998699752,1.0,True,10,Temporal-test-function weak-SINDy proxy: midpoint/subsampled targets expose endogeneity bias
WEAK_SINDY_TEMPORAL_PROXY,WEAK_SINDY_TEMPORAL_PROXY,gradient_potential,3,10,0.7867375810662182,1.0055415704905064,0.07214302198671002,,1.0,True,10,Temporal-test-function weak-SINDy proxy: midpoint/subsampled targets expose endogeneity bias
WEAK_SINDY_TEMPORAL_PROXY,WEAK_SINDY_TEMPORAL_PROXY,diag_multiplicative,4,10,0.7771700337491498,1.0045267759030354,0.13679631003785642,,1.0,True,10,Temporal-test-function weak-SINDy proxy: midpoint/subsampled targets expose endogeneity bias
WEAK_SINDY_TEMPORAL_PROXY,WEAK_SINDY_TEMPORAL_PROXY,nondiag_cholesky,4,10,0.7556888959994849,1.0,0.1254436579473089,0.7617956600517386,1.0,True,10,Temporal-test-function weak-SINDy proxy: midpoint/subsampled targets expose endogeneity bias
B0_NAIVE_1D_PORT,B0_NAIVE_1D_PORT,indep_ou,1,10,0.7556809468213554,1.127977052537426,0.13517505678613984,,1.0,True,9,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
B0_PRIME_IN_REPO_REPORT,B0_PRIME_IN_REPO_REPORT,indep_ou,1,10,0.7556809468213554,1.127977052537426,0.13517505678613984,,1.0,True,9,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
KM_LOCAL_MOMENT,KM_LOCAL_MOMENT,nondiag_cholesky,4,10,0.7385806794233222,1.089786303736034,0.1568502931590573,0.6437023757151856,1.0,True,10,Kramers-Moyal/local increment-moment proxy with ridge thresholding
B0_NAIVE_1D_PORT,B0_NAIVE_1D_PORT,nongradient_circulation,3,10,0.7330127686801307,1.0559053450685174,0.2692520198162095,,0.9940828402366864,True,8,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
B0_PRIME_IN_REPO_REPORT,B0_PRIME_IN_REPO_REPORT,nongradient_circulation,3,10,0.7330127686801307,1.0559053450685174,0.2692520198162095,,0.9940828402366864,True,8,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
GEDMD_DENSE_PROXY,GEDMD_DENSE_PROXY,coupled_ou,1,10,0.7300463596607509,1.2073280984658705,0.17610209359318096,,0.9970414201183432,True,10,"Dense gEDMD-style operator proxy: high-degree ridge dictionary, not sparse symbolic"
WEAK_SINDY_TEMPORAL_PROXY,WEAK_SINDY_TEMPORAL_PROXY,heston_sv,5,10,0.7284334197170492,1.1164807972446058,0.15202530801341407,0.9953838227005469,0.9378698224852071,True,10,Temporal-test-function weak-SINDy proxy: midpoint/subsampled targets expose endogeneity bias
WEAK_SINDY_TEMPORAL_PROXY,WEAK_SINDY_TEMPORAL_PROXY,cir_pair,5,10,0.7258687446184788,1.0307187546983299,0.20319400733227347,0.994311720265463,0.970414201183432,True,10,Temporal-test-function weak-SINDy proxy: midpoint/subsampled targets expose endogeneity bias
GEDMD_DENSE_PROXY,GEDMD_DENSE_PROXY,heston_sv,5,10,0.6972357097764621,1.149104018585732,0.1512033276955046,0.9907233238084849,0.9230769230769231,True,10,"Dense gEDMD-style operator proxy: high-degree ridge dictionary, not sparse symbolic"
B0_NAIVE_1D_PORT,B0_NAIVE_1D_PORT,coupled_ou,1,10,0.6839767916724414,1.4242263040194867,0.1962578208161908,,1.0,True,9,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
B0_PRIME_IN_REPO_REPORT,B0_PRIME_IN_REPO_REPORT,coupled_ou,1,10,0.6839767916724414,1.4242263040194867,0.1962578208161908,,1.0,True,9,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
B0_NAIVE_1D_PORT,B0_NAIVE_1D_PORT,diag_multiplicative,4,10,0.6780728921964825,1.5280776691227955,0.17168577017138842,,1.0,True,9,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
B0_PRIME_IN_REPO_REPORT,B0_PRIME_IN_REPO_REPORT,diag_multiplicative,4,10,0.6780728921964825,1.5280776691227955,0.17168577017138842,,1.0,True,9,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
GEDMD_DENSE_PROXY,GEDMD_DENSE_PROXY,correlated_ou,1,10,0.6696179415944901,1.4039602612876179,0.21919040391677108,0.990737747628406,0.9970414201183432,True,10,"Dense gEDMD-style operator proxy: high-degree ridge dictionary, not sparse symbolic"
B0_NAIVE_1D_PORT,B0_NAIVE_1D_PORT,heston_logsv,5,10,0.6571562291611119,1.6174389841211494,0.11321286550966553,0.9814084195144056,0.9437869822485208,True,10,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
B0_PRIME_IN_REPO_REPORT,B0_PRIME_IN_REPO_REPORT,heston_logsv,5,10,0.6571562291611119,1.6174389841211494,0.11321286550966553,0.9814084195144056,0.9437869822485208,True,10,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
KM_LOCAL_MOMENT,KM_LOCAL_MOMENT,cir_pair,5,10,0.6482981521139234,1.64487294702624,0.21255324179113017,0.995253030164095,0.9378698224852071,True,10,Kramers-Moyal/local increment-moment proxy with ridge thresholding
B0_NAIVE_1D_PORT,B0_NAIVE_1D_PORT,correlated_ou,1,10,0.6038794839637676,1.8304164137571466,0.19224172257293687,0.9853373040928393,1.0,True,10,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
B0_PRIME_IN_REPO_REPORT,B0_PRIME_IN_REPO_REPORT,correlated_ou,1,10,0.6038794839637676,1.8304164137571466,0.19224172257293687,0.9853373040928393,1.0,True,10,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
B0_NAIVE_1D_PORT,B0_NAIVE_1D_PORT,gradient_potential,3,10,0.5755229767439352,2.144657424436009,0.37183081416711405,,0.9526627218934911,True,10,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
B0_PRIME_IN_REPO_REPORT,B0_PRIME_IN_REPO_REPORT,gradient_potential,3,10,0.5755229767439352,2.144657424436009,0.37183081416711405,,0.9526627218934911,True,10,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
B0_NAIVE_1D_PORT,B0_NAIVE_1D_PORT,heston_sv,5,10,0.5484870276056253,2.5606146959924763,0.27331991685334944,0.9625564007276888,0.9201183431952662,True,10,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
B0_PRIME_IN_REPO_REPORT,B0_PRIME_IN_REPO_REPORT,heston_sv,5,10,0.5484870276056253,2.5606146959924763,0.27331991685334944,0.9625564007276888,0.9201183431952662,True,10,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
B0_NAIVE_1D_PORT,B0_NAIVE_1D_PORT,double_well_transverse,3,10,0.5436262719823489,2.9856297288287994,0.3541858871718524,,0.9881656804733728,True,10,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
B0_PRIME_IN_REPO_REPORT,B0_PRIME_IN_REPO_REPORT,double_well_transverse,3,10,0.5436262719823489,2.9856297288287994,0.3541858871718524,,0.9881656804733728,True,10,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
B0_NAIVE_1D_PORT,B0_NAIVE_1D_PORT,nondiag_cholesky,4,10,0.43591480861836857,3.6634054682254407,0.594319299271473,0.13971528059570082,0.908284023668639,True,10,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
B0_PRIME_IN_REPO_REPORT,B0_PRIME_IN_REPO_REPORT,nondiag_cholesky,4,10,0.43591480861836857,3.6634054682254407,0.594319299271473,0.13971528059570082,0.908284023668639,True,10,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
B0_NAIVE_1D_PORT,B0_NAIVE_1D_PORT,cir_pair,5,10,0.38583384011017813,8.208342174951975,0.7408363021674748,0.922165243025336,0.7307692307692308,True,10,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
B0_PRIME_IN_REPO_REPORT,B0_PRIME_IN_REPO_REPORT,cir_pair,5,10,0.38583384011017813,8.208342174951975,0.7408363021674748,0.922165243025336,0.7307692307692308,True,10,"Faithful naive 1D weak-form port to five 2D targets: raw coords, local-constant kernels, STLSQ, no GLS, no Cholesky"
GEDMD_DENSE_PROXY,GEDMD_DENSE_PROXY,cir_pair,5,10,0.27503478972921946,8.355586000546328,1.2889700035898906,0.7887515046275564,0.7840236686390533,False,10,"Dense gEDMD-style operator proxy: high-degree ridge dictionary, not sparse symbolic"
