system,tier,family,dim,scope_status,registry_verdict,library,n_seeds,drift_l2_mu,tensor_rel_l2,a12_cosine,psd_valid_pct,generator_action_error,false_positive_count,verdict,verdict_reason,metric_contract,source,figure_png,figure_pdf,paper_subsection_label,system_label,datasheet_tex,datasheet_md,v7_figure_pdf,v7_figure_png
indep_ou,1,linear_ou,2,IN_SCOPE_POSITIVE,STRONG,A,10,0.0978118661024502,0.0325074669516122,,1.0,0.1031494090478971,0,PASS,metric_gate_passed,drift+tensor+psd,v6_showcase,figures/v6/showcase_fields_indep_ou.png,figures/v6/showcase_fields_indep_ou.pdf,sec:v62-indep-ou,Independent OU,paper/datasheets/indep_ou.tex,docs/datasheets/indep_ou.md,figures/v7/datasheet_fields_indep_ou.pdf,figures/v7/datasheet_fields_indep_ou.png
correlated_ou,1,linear_ou,2,IN_SCOPE_POSITIVE,STRONG,A,10,0.1355505877498874,0.0514479535255873,0.9999999999999998,1.0,0.1334093212602712,0,PASS,metric_gate_passed,drift+tensor+psd,v6_showcase,figures/v6/showcase_fields_correlated_ou.png,figures/v6/showcase_fields_correlated_ou.pdf,sec:v62-correlated-ou,Correlated OU,paper/datasheets/correlated_ou.tex,docs/datasheets/correlated_ou.md,figures/v7/datasheet_fields_correlated_ou.pdf,figures/v7/datasheet_fields_correlated_ou.png
coupled_ou,1,linear_ou,2,IN_SCOPE_POSITIVE,STRONG,A,10,0.2135733333228304,0.0280379830756009,,1.0,0.2141934581799778,0,PASS,metric_gate_passed,drift+tensor+psd,v6_showcase,figures/v6/showcase_fields_coupled_ou.png,figures/v6/showcase_fields_coupled_ou.pdf,sec:v62-coupled-ou,Coupled OU,paper/datasheets/coupled_ou.tex,docs/datasheets/coupled_ou.md,figures/v7/datasheet_fields_coupled_ou.pdf,figures/v7/datasheet_fields_coupled_ou.png
rotational_ou,2,rotational,2,IN_SCOPE_POSITIVE,STRONG,A,10,0.0576496635890353,0.0376143749885056,,1.0,0.0617757925701648,0,PASS,metric_gate_passed,drift+tensor+psd,v6_showcase,figures/v6/showcase_fields_rotational_ou.png,figures/v6/showcase_fields_rotational_ou.pdf,sec:v62-rotational-ou,Rotational OU,paper/datasheets/rotational_ou.tex,docs/datasheets/rotational_ou.md,figures/v7/datasheet_fields_rotational_ou.pdf,figures/v7/datasheet_fields_rotational_ou.png
spiral_sink_corr,2,rotational,2,IN_SCOPE_POSITIVE,STRONG,A,10,0.0783352552564804,0.0425010819236483,1.0000000000000002,1.0,0.0826662003372495,0,PASS,metric_gate_passed,drift+tensor+psd,v6_showcase,figures/v6/showcase_fields_spiral_sink_corr.png,figures/v6/showcase_fields_spiral_sink_corr.pdf,sec:v62-spiral-sink-corr,Spiral sink + correlated noise,paper/datasheets/spiral_sink_corr.tex,docs/datasheets/spiral_sink_corr.md,figures/v7/datasheet_fields_spiral_sink_corr.pdf,figures/v7/datasheet_fields_spiral_sink_corr.png
double_well_transverse,3,bistable,2,IN_SCOPE_POSITIVE,STRONG,B,10,0.2262884904527516,0.0241601668515102,,1.0,0.2403709320964003,0,PASS,metric_gate_passed,drift+tensor+psd,v6_showcase,figures/v6/showcase_fields_double_well_transverse.png,figures/v6/showcase_fields_double_well_transverse.pdf,sec:v62-double-well-transverse,Double well + transverse,paper/datasheets/double_well_transverse.tex,docs/datasheets/double_well_transverse.md,figures/v7/datasheet_fields_double_well_transverse.pdf,figures/v7/datasheet_fields_double_well_transverse.png
gradient_potential,3,bistable,2,IN_SCOPE_POSITIVE,STRONG,B,10,0.2461177530788788,0.0236529238039915,,1.0,0.2535620190418451,0,PASS,metric_gate_passed,drift+tensor+psd,v6_showcase,figures/v6/showcase_fields_gradient_potential.png,figures/v6/showcase_fields_gradient_potential.pdf,sec:v62-gradient-potential,Gradient potential,paper/datasheets/gradient_potential.tex,docs/datasheets/gradient_potential.md,figures/v7/datasheet_fields_gradient_potential.pdf,figures/v7/datasheet_fields_gradient_potential.png
nongradient_circulation,3,rotational,2,IN_SCOPE_POSITIVE,STRONG,B,10,0.2392562840228329,0.0239194216267119,,1.0,0.2570315613726691,0,PASS,metric_gate_passed,drift+tensor+psd,v6_showcase,figures/v6/showcase_fields_nongradient_circulation.png,figures/v6/showcase_fields_nongradient_circulation.pdf,sec:v62-nongradient-circulation,Non-gradient circulation,paper/datasheets/nongradient_circulation.tex,docs/datasheets/nongradient_circulation.md,figures/v7/datasheet_fields_nongradient_circulation.pdf,figures/v7/datasheet_fields_nongradient_circulation.png
diag_multiplicative,4,multiplicative,2,IN_SCOPE_POSITIVE,STRONG,A,10,0.1999737586526181,0.1118249927518768,,1.0,0.2079394114699496,0,PASS,metric_gate_passed,drift+tensor+psd,v6_showcase,figures/v6/showcase_fields_diag_multiplicative.png,figures/v6/showcase_fields_diag_multiplicative.pdf,sec:v62-diag-multiplicative,Diagonal multiplicative,paper/datasheets/diag_multiplicative.tex,docs/datasheets/diag_multiplicative.md,figures/v7/datasheet_fields_diag_multiplicative.pdf,figures/v7/datasheet_fields_diag_multiplicative.png
nondiag_cholesky,4,multiplicative,2,IN_SCOPE_POSITIVE,STRONG,C,10,0.2042622054001573,0.0788351330868683,0.988339371932736,1.0,0.2188218193694159,0,PASS,metric_gate_passed,drift+tensor+psd,v6_showcase,figures/v6/showcase_fields_nondiag_cholesky.png,figures/v6/showcase_fields_nondiag_cholesky.pdf,sec:v62-nondiag-cholesky,Non-diagonal Cholesky,paper/datasheets/nondiag_cholesky.tex,docs/datasheets/nondiag_cholesky.md,figures/v7/datasheet_fields_nondiag_cholesky.pdf,figures/v7/datasheet_fields_nondiag_cholesky.png
near_singular,4,multiplicative,2,NAMED_LIMIT,FRAGILE,A,10,0.8700934147759143,1.5054945943077107,0.7240000115904922,1.0,7.3013642604684765,0,NAMED_NULL,fragile_physics_or_identifiability_limit,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_near_singular.png,figures/v6/showcase_fields_near_singular.pdf,sec:v62-near-singular,Near-singular tensor,paper/datasheets/near_singular.tex,docs/datasheets/near_singular.md,figures/v7/datasheet_fields_near_singular.pdf,figures/v7/datasheet_fields_near_singular.png
heston_sv,5,financial,2,IN_SCOPE_POSITIVE,FRAGILE,E,10,0.272678559401957,0.0888465547364243,0.9927827739642324,1.0,1717.3870722563634,0,PASS,metric_gate_passed,tensor+leverage+b2_variance_drift; b1_log_price_drift_reported_null,v6_showcase,figures/v6/showcase_fields_heston_sv.png,figures/v6/showcase_fields_heston_sv.pdf,sec:v62-heston-sv,Heston,paper/datasheets/heston_sv.tex,docs/datasheets/heston_sv.md,figures/v7/datasheet_fields_heston_sv.pdf,figures/v7/datasheet_fields_heston_sv.png
heston_logsv,5,financial,2,IN_SCOPE_POSITIVE,STRONG,D,10,0.143267267753879,0.0535273848510562,0.9986802991501468,1.0,0.5835306290474974,0,PASS,metric_gate_passed,tensor+leverage+b2_variance_drift; b1_log_price_drift_reported_null,v6_showcase,figures/v6/showcase_fields_heston_logsv.png,figures/v6/showcase_fields_heston_logsv.pdf,sec:v62-heston-logsv,Log-Heston,paper/datasheets/heston_logsv.tex,docs/datasheets/heston_logsv.md,figures/v7/datasheet_fields_heston_logsv.pdf,figures/v7/datasheet_fields_heston_logsv.png
cir_pair,5,financial,2,IN_SCOPE_POSITIVE,FRAGILE,F,10,0.3933099076916935,0.1157952727045041,0.9952095392582606,1.0,0.407930951512237,0,PASS,metric_gate_passed,tensor+leverage+CIR_pair_drift,v6_showcase,figures/v6/showcase_fields_cir_pair.png,figures/v6/showcase_fields_cir_pair.pdf,sec:v62-cir-pair,CIR pair,paper/datasheets/cir_pair.tex,docs/datasheets/cir_pair.md,figures/v7/datasheet_fields_cir_pair.pdf,figures/v7/datasheet_fields_cir_pair.png
underdamped_langevin,6,honest_limits,2,NAMED_LIMIT,FRAGILE,B,10,0.1566798600292999,0.5633894164079569,,1.0,0.2292782364441329,0,NAMED_NULL,fragile_physics_or_identifiability_limit,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_underdamped_langevin.png,figures/v6/showcase_fields_underdamped_langevin.pdf,sec:v62-underdamped-langevin,Underdamped Langevin,paper/datasheets/underdamped_langevin.tex,docs/datasheets/underdamped_langevin.md,figures/v7/datasheet_fields_underdamped_langevin.pdf,figures/v7/datasheet_fields_underdamped_langevin.png
near_boundary_heston,6,honest_limits,2,NAMED_LIMIT,FRAGILE,D,10,1.4130442783829285,0.2668082707115795,0.981676811200544,1.0,1.4864391292752566,0,NAMED_NULL,fragile_physics_or_identifiability_limit,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_near_boundary_heston.png,figures/v6/showcase_fields_near_boundary_heston.pdf,sec:v62-near-boundary-heston,Near-boundary Heston,paper/datasheets/near_boundary_heston.tex,docs/datasheets/near_boundary_heston.md,figures/v7/datasheet_fields_near_boundary_heston.pdf,figures/v7/datasheet_fields_near_boundary_heston.png
nonpoly_drift,6,honest_limits,2,NAMED_LIMIT,STRONG_WITH_G_FAIL_WITHOUT,G,10,0.2097937396855577,0.0374296913248597,,1.0,0.2363339884388018,0,NAMED_NULL,registry_declared_failure_or_stress_case,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_nonpoly_drift.png,figures/v6/showcase_fields_nonpoly_drift.pdf,sec:v62-nonpoly-drift,Non-polynomial drift,paper/datasheets/nonpoly_drift.tex,docs/datasheets/nonpoly_drift.md,figures/v7/datasheet_fields_nonpoly_drift.pdf,figures/v7/datasheet_fields_nonpoly_drift.png
bad_coverage,6,honest_limits,2,NAMED_LIMIT,FRAGILE_FAIL,A,10,0.8146790957781631,0.7836077327626298,,1.0,0.8062862850928714,0,NAMED_NULL,registry_declared_failure_or_stress_case,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_bad_coverage.png,figures/v6/showcase_fields_bad_coverage.pdf,sec:v62-bad-coverage,Bad coverage,paper/datasheets/bad_coverage.tex,docs/datasheets/bad_coverage.md,figures/v7/datasheet_fields_bad_coverage.pdf,figures/v7/datasheet_fields_bad_coverage.png
too_large_dt,6,honest_limits,2,NAMED_LIMIT,FRAGILE_FAIL,A,10,0.097963417931602,0.1193453602308176,,1.0,0.1175830753667917,0,NAMED_NULL,registry_declared_failure_or_stress_case,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_too_large_dt.png,figures/v6/showcase_fields_too_large_dt.pdf,sec:v62-too-large-dt,Too-large time step,paper/datasheets/too_large_dt.tex,docs/datasheets/too_large_dt.md,figures/v7/datasheet_fields_too_large_dt.pdf,figures/v7/datasheet_fields_too_large_dt.png
van_der_pol,7-limit-cycle,limit_cycle,2,IN_SCOPE_POSITIVE,STRONG,B,10,0.0660961919026761,0.0396682428999318,,1.0,0.0560037596836365,0,PASS,metric_gate_passed,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_van_der_pol.png,figures/v6/showcase_fields_van_der_pol.pdf,sec:v62-van-der-pol,Van der Pol,paper/datasheets/van_der_pol.tex,docs/datasheets/van_der_pol.md,figures/v7/datasheet_fields_van_der_pol.pdf,figures/v7/datasheet_fields_van_der_pol.png
fitzhugh_nagumo,7-limit-cycle,limit_cycle,2,IN_SCOPE_POSITIVE,STRONG,B,10,0.2052765678350064,0.0403143306032625,,1.0,0.6229830579385888,0,PASS,metric_gate_passed,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_fitzhugh_nagumo.png,figures/v6/showcase_fields_fitzhugh_nagumo.pdf,sec:v62-fitzhugh-nagumo,FitzHugh-Nagumo,paper/datasheets/fitzhugh_nagumo.tex,docs/datasheets/fitzhugh_nagumo.md,figures/v7/datasheet_fields_fitzhugh_nagumo.pdf,figures/v7/datasheet_fields_fitzhugh_nagumo.png
stuart_landau,7-limit-cycle,limit_cycle,2,IN_SCOPE_POSITIVE,STRONG,B,10,0.1255446409356633,0.018036399922623,,1.0,0.144122885446003,0,PASS,metric_gate_passed,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_stuart_landau.png,figures/v6/showcase_fields_stuart_landau.pdf,sec:v62-stuart-landau,Stuart-Landau,paper/datasheets/stuart_landau.tex,docs/datasheets/stuart_landau.md,figures/v7/datasheet_fields_stuart_landau.pdf,figures/v7/datasheet_fields_stuart_landau.png
brusselator,7-limit-cycle,limit_cycle,2,IN_SCOPE_POSITIVE,STRONG,B,10,0.0126051083213541,0.0668340197384399,,1.0,0.0152544173458032,0,PASS,metric_gate_passed,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_brusselator.png,figures/v6/showcase_fields_brusselator.pdf,sec:v62-brusselator,Brusselator,paper/datasheets/brusselator.tex,docs/datasheets/brusselator.md,figures/v7/datasheet_fields_brusselator.pdf,figures/v7/datasheet_fields_brusselator.png
maier_stein,8-bistable,bistable,2,IN_SCOPE_POSITIVE,STRONG,B,10,0.2353005978802438,0.0379088687098291,,1.0,0.2293676377847109,0,PASS,metric_gate_passed,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_maier_stein.png,figures/v6/showcase_fields_maier_stein.pdf,sec:v62-maier-stein,Maier-Stein,paper/datasheets/maier_stein.tex,docs/datasheets/maier_stein.md,figures/v7/datasheet_fields_maier_stein.pdf,figures/v7/datasheet_fields_maier_stein.png
duffing,8-bistable,bistable,2,IN_SCOPE_POSITIVE,STRONG,B,10,0.2400675831285574,0.030953888832456,,1.0,0.1986142672432544,0,PASS,metric_gate_passed,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_duffing.png,figures/v6/showcase_fields_duffing.pdf,sec:v62-duffing,Duffing oscillator,paper/datasheets/duffing.tex,docs/datasheets/duffing.md,figures/v7/datasheet_fields_duffing.pdf,figures/v7/datasheet_fields_duffing.png
mueller_brown,8-bistable,bistable,2,NAMED_LIMIT,FRAGILE_FAIL,C,10,1.826075273780428,0.0745387106509438,,1.0,1.5291322750764542,0,NAMED_NULL,registry_declared_failure_or_stress_case,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_mueller_brown.png,figures/v6/showcase_fields_mueller_brown.pdf,sec:v62-mueller-brown,Mueller-Brown,paper/datasheets/mueller_brown.tex,docs/datasheets/mueller_brown.md,figures/v7/datasheet_fields_mueller_brown.pdf,figures/v7/datasheet_fields_mueller_brown.png
sabr,9-financial,financial,2,NAMED_LIMIT,FRAGILE,F,10,,0.1951960105215996,0.9896275586436264,1.0,1.1598735676181955,0,NAMED_NULL,fragile_physics_or_identifiability_limit,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_sabr.png,figures/v6/showcase_fields_sabr.pdf,sec:v62-sabr,SABR,paper/datasheets/sabr.tex,docs/datasheets/sabr.md,figures/v7/datasheet_fields_sabr.pdf,figures/v7/datasheet_fields_sabr.png
gbm_2d,9-financial,financial,2,EXPANDED_REVIEW,STRONG,A,10,2.4922660195102946,0.0964159791668556,0.9970399130951344,1.0,1.6357894800311987,0,SCOPED_REVIEW,metric_gate_not_met_but_truth_is_representable,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_gbm_2d.png,figures/v6/showcase_fields_gbm_2d.pdf,sec:v62-gbm-2d,Correlated 2D GBM,paper/datasheets/gbm_2d.tex,docs/datasheets/gbm_2d.md,figures/v7/datasheet_fields_gbm_2d.pdf,figures/v7/datasheet_fields_gbm_2d.png
two_factor_vasicek,9-financial,linear_ou,2,EXPANDED_REVIEW,STRONG,A,10,0.3499264350895786,1.0,,1.0,0.3867845371006512,0,SCOPED_REVIEW,metric_gate_not_met_but_truth_is_representable,drift+tensor+psd,v6_2_extra,figures/v6/showcase_fields_two_factor_vasicek.png,figures/v6/showcase_fields_two_factor_vasicek.pdf,sec:v62-two-factor-vasicek,Two-factor Vasicek,paper/datasheets/two_factor_vasicek.tex,docs/datasheets/two_factor_vasicek.md,figures/v7/datasheet_fields_two_factor_vasicek.pdf,figures/v7/datasheet_fields_two_factor_vasicek.png
